Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
False 	 2 	 80 	 0.000000000025600 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000015950 	 True 	 True 	 False 	 True 
False 	 5 	 80 	 0.000000000016537 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001743 	 True 	 True 	 False 	 True 
False 	 8 	 80 	 0.000000000179750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019437 	 True 	 True 	 False 	 True 
False 	 10 	 80 	 0.000000007715000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000067137 	 True 	 True 	 False 	 True 
False 	 15 	 80 	 0.000000004923750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000058250 	 True 	 True 	 False 	 True 
False 	 25 	 80 	 0.000000003353750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000044988 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000001820000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019175 	 True 	 True 	 False 	 True 
False 	 75 	 80 	 0.000000002601250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019750 	 True 	 True 	 True 	 False 
True 	 100 	 80 	 0.000000001101250 	 0.000000000041298 	 0.107635729991580 	 8.090 	 46368.4211 	 4282.37895 	 908059023.8365494013 	 0.000000000533100 	 0.000000000000024 	 True 	 True 	 True 	 True 
False 	 2 	 20 	 0.000000012515000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000122750 	 True 	 True 	 False 	 True 
False 	 5 	 20 	 0.000000009270000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000058750 	 True 	 True 	 False 	 True 
False 	 8 	 20 	 0.000000006165000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000159700 	 True 	 True 	 False 	 True 
False 	 10 	 20 	 0.000000002284000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000035245 	 True 	 True 	 False 	 True 
False 	 15 	 20 	 0.000000002480000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000053150 	 True 	 True 	 False 	 True 
False 	 25 	 20 	 0.000000002241500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000083750 	 True 	 True 	 False 	 True 
False 	 50 	 20 	 0.000000002671000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000080450 	 True 	 True 	 False 	 True 
False 	 75 	 20 	 0.000000002874500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014080 	 True 	 True 	 False 	 True 
False 	 100 	 20 	 0.000000000808000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000015955 	 True 	 True 	 False 	 True 
False 	 2 	 5 	 0.000000129620000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000001658800 	 True 	 True 	 False 	 True 
False 	 5 	 5 	 0.000000111200000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000001146400 	 True 	 True 	 False 	 True 
False 	 8 	 5 	 0.000000082440000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000958000 	 True 	 True 	 False 	 True 
False 	 10 	 5 	 0.000000061020000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000479800 	 True 	 True 	 False 	 True 
False 	 15 	 5 	 0.000000045520000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000340600 	 True 	 True 	 False 	 True 
False 	 25 	 5 	 0.000000027040000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000104180 	 True 	 True 	 False 	 True 
True 	 50 	 5 	 0.000000011278000 	 0.000000000410669 	 0.535168829030327 	 4.596 	  5319.8113 	 4109.45625 	 88668203.5821954310 	 0.000000000501900 	 0.000000000002120 	 True 	 True 	 True 	 True 
True 	 75 	 5 	 0.000000007132000 	 0.000000000270120 	 0.528015781804957 	 4.233 	  1382.1705 	    0.00000 	 140213123.9484015703 	 0.000000000514500 	 0.000000000005160 	 True 	 True 	 True 	 True 
False 	 100 	 5 	 -0.000000000000720 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000049080 	 True 	 True 	 False 	 True 
False 	 2 	 80 	 -0.000000000000091 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 5 	 80 	 -0.000000000000021 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 8 	 80 	 -0.000000000000025 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 10 	 80 	 -0.000000000000039 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 15 	 80 	 -0.000000000000035 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 25 	 80 	 -0.000000000000010 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 -0.000000000000041 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 75 	 80 	 -0.000000000000056 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 100 	 80 	 -0.000000000000040 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004000 	 True 	 True 	 False 	 True 
False 	 2 	 20 	 -0.000000000028905 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 5 	 20 	 -0.000000000000260 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 8 	 20 	 -0.000000000000235 	 0.000000000000484 	 0.000100868040592 	 4.615 	  1888.0000 	    0.00000 	 -4255319148936.1708984375 	 0.000000000349700 	 0.000000000000005 	 True 	 True 	 True 	 True 
False 	 10 	 20 	 -0.000000000000115 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 15 	 20 	 -0.000000000000090 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 25 	 20 	 -0.000000000000240 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
