Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 15 	 80 	 0.000000013425000 	 0.000000000643640 	 0.251630487553850 	 26.906 	 33720.5651 	 2476.31254 	 74487895.7169459909 	 0.000000005871000 	 0.000000000000398 	 True 	 True 	 True 	 True 
True 	 25 	 80 	 0.000000029962500 	 0.000000001378676 	 0.898320984298602 	 21.967 	 71022.2222 	 2487.02680 	 33375052.1485189795 	 0.000000005323500 	 0.000000000000422 	 True 	 True 	 True 	 True 
False 	 50 	 80 	 0.000000000000329 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000329 	 False 	 False 	 True 	 True 
False 	 75 	 80 	 0.000000000000055 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000055 	 False 	 False 	 True 	 True 
False 	 100 	 80 	 -0.000000000086419 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005063 	 False 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000005427500 	 0.000000000227500 	 0.011858795201791 	 30.501 	  1819.7821 	 2198.46334 	 184246890.8337171674 	 0.000000000206450 	 0.000000000002982 	 True 	 True 	 True 	 True 
False 	 5 	 20 	 0.000000000560250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002482 	 True 	 True 	 False 	 True 
True 	 8 	 20 	 0.000000000433225 	 0.000000000018413 	 0.003839275364489 	 30.981 	  1031.4881 	 2391.12953 	 2308269375.0360670090 	 0.000000000992000 	 0.000000000000420 	 True 	 True 	 True 	 True 
True 	 10 	 20 	 0.000000000426575 	 0.000000000019199 	 0.005003767658674 	 32.793 	  1100.8387 	 5039.02882 	 2344253648.2447404861 	 0.000000000856400 	 0.000000000000388 	 True 	 True 	 True 	 True 
True 	 15 	 20 	 0.000000000711250 	 0.000000000046926 	 0.018345870469740 	 34.203 	  1323.2558 	 3091.73739 	 1405975395.4305801392 	 0.000000000643200 	 0.000000000000537 	 True 	 True 	 True 	 True 
False 	 25 	 20 	 -0.000000000057925 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 50 	 20 	 0.000000002122500 	 0.000000000082147 	 0.107051115056896 	 26.660 	 283000.0000 	 2768.76537 	 471142520.6124852896 	 0.000000000079150 	 0.000000000000007 	 True 	 True 	 True 	 True 
False 	 75 	 20 	 0.000000002189000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000003540 	 True 	 True 	 False 	 True 
True 	 100 	 20 	 0.000000001364500 	 0.000000000091382 	 0.238172441447744 	 38.300 	  4134.8485 	 2825.51238 	 732869182.8508610725 	 0.000000000077900 	 0.000000000000330 	 True 	 True 	 True 	 True 
True 	 2 	 5 	 0.000000000178910 	 0.000000000011070 	 0.000577041155533 	 -10.846 	 17891.0000 	    0.00000 	 5589402492.8735122681 	 0.000000000203050 	 0.000000000000010 	 True 	 True 	 True 	 True 
True 	 5 	 5 	 0.000000000146140 	 0.000000000008514 	 0.001109529423082 	 -10.436 	 14614.0000 	    0.00000 	 6842753524.0180644989 	 0.000000000080400 	 0.000000000000010 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 0.000000000197900 	 0.000000000015000 	 0.003127594338934 	 -10.713 	  6596.6667 	    0.00000 	 5053057099.5452251434 	 0.000000000099800 	 0.000000000000030 	 True 	 True 	 True 	 True 
False 	 10 	 5 	 0.000000000466400 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006160 	 True 	 True 	 False 	 True 
True 	 15 	 5 	 0.000000000898300 	 0.000000000065965 	 0.025788855085887 	 40.059 	  5988.6667 	 4097.63731 	 1113213848.3802738190 	 0.000000000434650 	 0.000000000000150 	 True 	 True 	 True 	 True 
False 	 25 	 5 	 -0.000000000120240 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 50 	 5 	 0.000000001180800 	 0.000000000077900 	 0.101516499584566 	 38.618 	  6945.8824 	 3590.06052 	 846883468.8346884251 	 0.000000000117950 	 0.000000000000170 	 True 	 True 	 True 	 True 
False 	 75 	 5 	 0.000000000977400 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006190 	 True 	 True 	 False 	 True 
False 	 100 	 5 	 0.000000000778500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000008780 	 True 	 True 	 False 	 True 
True 	 2 	 80 	 0.000001518750000 	 0.000000054375000 	 2.834382369658947 	 20.133 	 6567567.5676 	 2163.25193 	 658436.2139917696 	 0.000000000404950 	 0.000000000000231 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000361875000 	 0.000000015522059 	 2.022779304377972 	 27.274 	 998275.8621 	  321.45516 	 2763385.1468048361 	 0.000000000426500 	 0.000000000000363 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000161937500 	 0.000000005878676 	 1.225741016655756 	 15.307 	 573230.0885 	 1897.22534 	 6175221.9220378231 	 0.000000000635200 	 0.000000000000283 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000398062500 	 0.000000012893382 	 3.360439138064213 	 13.363 	 966464.3399 	  767.66267 	 2512168.3152771238 	 0.000000000592100 	 0.000000000000412 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000291062500 	 0.000000012187500 	 4.764694500719784 	 18.944 	 877024.4821 	  821.75821 	 3435688.2112948247 	 0.000000000883000 	 0.000000000000332 	 True 	 True 	 True 	 True 
True 	 25 	 80 	 0.000000304812500 	 0.000000010628676 	 6.925455908286025 	 15.938 	 811480.8652 	 1890.09425 	 3280705.3516506050 	 0.000000000825000 	 0.000000000000376 	 True 	 True 	 True 	 True 
True 	 50 	 80 	 0.000000226750000 	 0.000000007555147 	 9.845597987912676 	 14.916 	 397807.0175 	 1433.99604 	 4410143.3296582140 	 0.000000001676500 	 0.000000000000570 	 True 	 True 	 True 	 True 
